sectionid,295,304,308,309,311,312,313,314,316,319,320,323,326,328,331,332,333,337,338,339,340,341,342,343,345,346,347,353,354,355,356,357,358,359,361,362,363,364,365,367,368,369,371,372,374,375,377,378,380,381,384,385,387,388,389,391,392,393,394,395,398,399,400,401,402,403,404,405,409,410,412,413,415,416,418,421,422,424,426,428,429,430,432,433,436,438,440,441,444,446,447,448,449,451,453,456,458,460,461,462,464,465,467,469,471,473,474,476,479,480,481,484,486,487,489,490,491,493,494,496,498,500,501,503,504,505,506,507,508,509,510,511,512,513,514,515,516,518,519,520,521,522,523,524,526,527,528,529,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,618,619,621,623,624,625,627,628,629,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,668,669,670,671,672,673,674,675,676,677,678,679,680,682,683,684,685,686,687,688,689,690,691,693,694,695,696,697,698,699,700,701,702,703,705,706,707,708,709,715
link.length,126.2,157.3,46.5,32.7,153.6,143.2,124.9,139.5,115.1,55.7,29.1,386.1,141.3,248,88.6,626,291.6,342.6,263.2,253.4,199.2,579.8,204.8,590.3,179.5,539.6,433.5,875,295.9,263.9,172.6,275.8,517.8,407.8,369.5,515.1,461.7,97.6,254.2,297.6,432,173.4,182.2,193,265.1,632.6,875,648.5,211.6,346.4,326.4,639.7,326.5,209.7,288,210.5,160,341.9,649,138.7,907.1,160,138.7,709.8,422.8,355.2,173.1,407.8,45.5,231.3,295.4,275.2,632.6,639.6,344,364,589.3,288,275.6,130.1,167,442,461.2,96,114.4,140.5,312.5,297.6,290,160,154.9,258.2,297.9,432.8,432.4,403.9,289.3,142.8,149.4,173.2,212,195,205,291.5,113.2,154.6,62.8,58.6,142.7,114.3,58.5,107.7,136.6,165,127.3,152,208.6,211.9,237.8,275.5,160,197,201.9,113.9,134.7,406.7,310,440.1,310,658.2,536.7,390,275.7,140.6,650.2,136.1,323.4,198.4,429.6,323.4,610,190.7,602.8,71.1,604.6,125,705.6,993.5,91,88.6,126.6,973.9,150.8,333.9,125.5,140.4,537.3,551.7,340.5,301.6,299.5,153.4,300.1,320,570.9,190.2,320,296.3,383.4,625.5,264.9,314.1,246.6,124.7,245.7,325.1,142.8,68.7,323.5,269.7,144.6,139.8,55.2,151.6,266.6,403.7,341.4,342,265,586.7,583,266.9,334.7,45.5,273.7,337.6,231.6,594.5,335.6,156.7,47.3,591.2,336.1,205,323,373.2,315.8,98.2,590.2,80.4,340,100.3,340,284.4,589.9,283.8,304.7,274.5,304.9,301.5,149.4,590.3,304.5,330,418.9,330,91.5,351.2,736.1,374,309.3,283.2,294.1,304.1,283.2,268.6,284.6,281.5,277.2,311.6,292.2,300.8,277,145.9,120.7,267.5,330.4,283,279.8,332.4,292.2,311.2,168.1,273.4,118.1,280,275.5,332.5,279.9,305.6,134.9,276,303.4,329.4,291.7,331.7,302.1,287.7,59.1,310.5,60.7,302,323,331.7,302,306,165,306,313.9,181.2,285.3,292.5,286.3,311.5,173.9,49.9,323,610.2,328.1,153.2,314,610.3,149.9,291.9,292.2,154.4,313.4,294.1,77.1,143.5,131,306.8,115.1,352.8,288.9,328.1,289.9,243.9,76.3,28.5,594.3,31.2,125.3,586.9,355.3,351.5
origin.x,3832,3879,3879,3920,3772,3832,3686,3660,3740,3878,3918,3769,3665,3920,4063,3632,3740,3449,3328,3450,3876,3951,3247,3187,3117,3184,3328,3333,3052,3151,3053,3052,3054,3053,3181,3054,3055,3055,3055,3055,3195,3054,3118,3052,3152,3350,3054,3547,3332,3443,3662,3350,3552,3725,3659,3662,3787,3631,3333,3606,3947,3725,3547,3787,3446,3450,3054,3054,3665,3767,3054,3054,3151,3552,3552,3329,3552,3662,3662,3662,3769,3725,3054,3053,3450,3550,3550,3547,3768,3769,3878,3053,3053,3053,3053,3329,3665,3664,3769,3053,3052,3054,3187,3667,3485,3554,3632,3711,3832,3890,3700,3572,3808,3895,4063,3977,3666,3333,3338,3664,3054,3054,3054,3660,3547,3184,3446,3329,3329,3662,3446,3664,3659,3715,3446,3715,3876,3947,3799,3769,3953,3879,3973,3918,3985,3920,4043,4110,3994,4110,4021,3994,3325,3446,3452,3500,3446,3547,3665,3666,3768,3766,3665,3879,3876,3951,3768,3453,3197,3328,3449,3328,3549,3548,3453,3664,3718,3667,3549,3764,3824,3718,3901,3824,3330,3195,3450,3329,3548,3451,3549,3450,3665,3689,3666,3548,3689,3769,3879,3881,3901,3878,3767,3118,3291,3245,3187,3328,3329,3291,3451,3470,3328,3554,3548,3451,3667,3485,3554,3773,3710,3767,3667,3878,3881,3773,4043,3890,3915,3187,3312,3325,3372,3434,3452,3489,3550,3572,3607,3668,3686,3729,3808,3291,3328,3312,3325,3372,3393,3543,3434,3452,3624,3516,3597,3550,3632,3777,3668,3686,3851,3729,3746,3393,3543,3452,3603,3624,3621,3516,3681,3833,3862,3746,3777,3895,3851,3833,3977,3583,3543,3710,3603,3624,3789,3723,3777,3977,3946,4021,3895,3862,3667,3624,3772,3803,3686,3710,3792,3803,3863,3803,3863,3994,3946,3862,3890,3744,3710,3901,3879,3901,3973,3918,3917,3247
origin.y,4135,3734,3734,3734,4052,4135,4122,4253,4197,3540,3538,3151,3340,3734,4462,4404,4197,3644,3546,3733,3151,3341,2936,2967,3160,3156,3337,2764,2863,2959,3022,2863,3335,3022,3334,3159,3491,3491,3633,3633,3733,3795,3927,3861,3047,2957,2764,2763,2838,2936,2955,2957,2956,2909,3057,2955,2905,2837,2764,2762,3149,2909,2763,2905,3336,3432,2956,3159,3734,3733,2764,2956,2959,2956,2956,3157,2956,2955,3150,3150,3151,2909,3335,3542,3432,3337,3337,2763,3342,3538,3540,3542,3733,3542,3733,3734,3734,3538,3538,3733,3861,3926,3932,3929,4005,3931,4216,4159,4135,4214,4222,4323,4650,4584,4462,4522,3633,2764,2915,3538,3159,3926,3795,4253,3445,3156,3154,3013,3157,3150,3336,3283,3057,3153,3154,3153,3151,3149,3035,3151,3537,3342,3733,3538,3925,3734,4144,4458,4149,4458,4494,4149,3282,3336,3386,3340,3154,3152,3340,3443,3342,3282,3340,3342,3151,3341,3342,3539,3548,3337,3644,3546,3538,3490,3539,3538,3540,3567,3538,3447,3536,3540,3536,3536,3642,3733,3733,3734,3735,3928,3538,3733,3734,3732,3829,3735,3732,3538,3734,3791,3735,3540,3733,3927,3930,4042,3932,3928,3734,3930,3928,3966,3928,3931,3735,3928,3929,4005,3931,3926,3973,3733,3929,3925,3791,3926,4144,4214,3929,3932,4134,3981,4217,4304,4160,4379,4466,4323,4541,4624,4485,4709,4650,3930,3928,4134,3981,4217,4079,4091,4304,4160,4278,4245,4363,4466,4404,4422,4624,4485,4619,4709,4566,4079,4091,4160,4178,4034,4197,4245,4241,4502,4362,4566,4422,4584,4619,4502,4522,3981,4091,3973,4178,4034,4159,4178,4422,4522,4296,4494,4584,4362,3929,4034,4052,4095,4122,3973,4025,4095,4175,4278,4175,4149,4296,4362,4214,3961,3973,3536,3342,3735,3733,3538,3819,2936
dest.x,3789,3881,3901,3901,3803,3803,3711,3632,3700,3901,3901,3766,3664,3917,4110,3803,3803,3330,3330,3449,3947,3947,3187,3184,3184,3181,3181,3054,3054,3054,3054,3054,3054,3054,3054,3054,3054,3053,3053,3053,3053,3053,3054,3054,3151,3151,3333,3333,3333,3338,3552,3552,3662,3662,3662,3725,3725,3725,3547,3547,3787,3787,3606,3606,3450,3446,3053,3053,3689,3689,3052,3052,3350,3350,3443,3325,3547,3659,3659,3715,3715,3799,3055,3055,3452,3500,3547,3631,3764,3824,3824,3055,3055,3197,3195,3195,3666,3718,3718,3054,3054,3118,3118,3666,3470,3583,3621,3723,3863,3863,3681,3597,3851,3851,4021,4021,3667,3332,3332,3666,3117,3052,3052,3624,3548,3329,3329,3329,3446,3446,3446,3662,3662,3662,3662,3769,3769,3876,3876,3876,3951,3951,3953,3953,3973,3973,3985,4043,4043,4063,4063,4063,3328,3328,3446,3446,3446,3550,3550,3665,3665,3768,3768,3768,3879,3879,3879,3450,3328,3328,3453,3453,3453,3549,3549,3549,3664,3664,3664,3769,3769,3769,3878,3878,3329,3329,3329,3450,3450,3450,3548,3548,3548,3665,3665,3665,3767,3767,3767,3879,3879,3879,3879,3187,3187,3187,3291,3291,3328,3328,3328,3451,3451,3451,3554,3554,3554,3554,3667,3667,3667,3773,3773,3773,3878,3878,3994,3994,3994,3245,3245,3245,3312,3372,3372,3434,3489,3489,3550,3607,3607,3668,3729,3325,3325,3393,3393,3452,3452,3452,3516,3516,3572,3572,3632,3632,3686,3686,3746,3746,3808,3808,3808,3485,3485,3543,3543,3543,3603,3603,3660,3777,3777,3833,3833,3833,3895,3895,3895,3624,3624,3624,3686,3686,3740,3740,3862,3862,3862,3977,3977,3977,3710,3710,3710,3772,3772,3772,3772,3832,3832,3890,3890,3890,3890,3946,3946,3792,3744,3918,3918,3920,3920,3920,3915,3329
dest.y,4159,3791,3735,3735,4095,4095,4159,4216,4222,3536,3536,3282,3283,3819,4458,4278,4278,3642,3642,3644,3149,3149,2967,3156,3156,3334,3334,2764,2764,2956,2956,2956,3159,3159,3335,3335,3335,3542,3542,3733,3733,3733,3926,3926,2959,2959,2764,2764,2764,2915,2956,2956,2955,2955,2955,2909,2909,2909,2763,2763,2905,2905,2762,2762,3432,3336,3022,3022,3732,3732,2863,2863,2957,2957,2936,3282,3152,3057,3057,3153,3153,3035,3491,3491,3386,3340,3445,2837,3447,3536,3536,3633,3633,3548,3733,3733,3633,3540,3540,3795,3795,3927,3927,3829,3966,3981,4197,4178,4175,4175,4241,4363,4619,4619,4494,4494,3567,2838,2838,3443,3160,3861,3861,4278,3490,3157,3157,3157,3154,3154,3154,3150,3150,3150,3150,3151,3151,3151,3151,3151,3341,3341,3537,3537,3733,3733,3925,4144,4144,4462,4462,4462,3337,3337,3336,3336,3336,3337,3337,3340,3340,3342,3342,3342,3342,3342,3342,3432,3546,3546,3539,3539,3539,3538,3538,3538,3538,3538,3538,3538,3538,3538,3540,3540,3734,3734,3734,3733,3733,3733,3735,3735,3735,3734,3734,3734,3733,3733,3733,3734,3734,3734,3734,3932,3932,3932,3930,3930,3928,3928,3928,3928,3928,3928,3931,3931,3931,3931,3929,3929,3929,3926,3926,3926,3925,3925,4149,4149,4149,4042,4042,4042,4134,4217,4217,4304,4379,4379,4466,4541,4541,4624,4709,3981,3981,4079,4079,4160,4160,4160,4245,4245,4323,4323,4404,4404,4485,4485,4566,4566,4650,4650,4650,4005,4005,4091,4091,4091,4178,4178,4253,4422,4422,4502,4502,4502,4584,4584,4584,4034,4034,4034,4122,4122,4197,4197,4362,4362,4362,4522,4522,4522,3973,3973,3973,4052,4052,4052,4052,4135,4135,4214,4214,4214,4214,4296,4296,4025,3961,3538,3538,3734,3734,3734,3929,3013
EntId,295,304,308,309,311,312,313,314,316,319,320,323,326,328,331,332,333,337,338,339,340,341,342,343,345,346,347,353,354,355,356,357,358,359,361,362,363,364,365,367,368,369,371,372,374,375,377,378,380,381,384,385,387,388,389,391,392,393,394,395,398,399,400,401,402,403,404,405,409,410,412,413,415,416,418,421,422,424,426,428,429,430,432,433,436,438,440,441,444,446,447,448,449,451,453,456,458,460,461,462,464,465,467,469,471,473,474,476,479,480,481,484,486,487,489,490,491,493,494,496,498,500,501,503,504,505,506,507,508,509,510,511,512,513,514,515,516,518,519,520,521,522,523,524,526,527,528,529,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,618,619,621,623,624,625,627,628,629,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,668,669,670,671,672,673,674,675,676,677,678,679,680,682,683,684,685,686,687,688,689,690,691,693,694,695,696,697,698,699,700,701,702,703,705,706,707,708,709,715
ent.id,2,11,15,16,18,19,20,21,23,26,27,30,NA,35,38,39,40,44,45,46,47,48,49,50,52,53,54,60,61,62,63,64,65,66,68,69,70,71,72,74,75,76,78,79,81,82,84,85,87,88,91,92,94,95,96,98,99,100,101,102,105,106,107,108,109,110,111,112,116,117,119,120,122,123,125,128,129,131,133,135,136,137,139,140,143,145,147,148,151,153,154,155,156,158,160,163,165,167,168,169,171,172,174,176,178,180,181,183,186,187,188,191,193,194,196,197,198,200,201,203,205,207,208,210,211,212,213,214,215,216,217,218,219,220,221,222,223,225,226,227,228,229,230,231,233,234,235,236,238,239,240,241,242,243,244,245,246,247,NA,249,250,251,NA,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,325,326,328,330,331,332,334,335,336,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,375,376,377,378,379,380,381,382,383,384,385,386,387,389,390,391,392,393,394,395,396,397,398,400,401,402,403,404,405,406,407,408,409,410,412,413,414,415,416,422
Node1,3010,2188,2188,3094,2987,3010,2886,2795,2903,2060,3071,1639,1877,3094,1785,2666,2903,882,1951,2096,1664,1683,1160,902,1553,905,1816,1130,1351,1116,1334,1351,1010,1334,926,987,1399,1399,1438,1438,1450,1471,1478,1558,1123,1358,931,1254,1541,1365,1194,1358,1165,1223,1380,1194,1283,1421,1130,1306,887,1223,1254,1283,1835,1946,964,987,2140,2165,931,964,1116,1165,1165,1570,1165,1194,1614,1614,1639,1223,1010,1037,1946,1860,1860,1254,1896,2037,2060,1037,1060,1037,1060,2075,2140,2010,2037,1060,1558,1093,2213,2326,2740,2297,791,782,3010,3033,800,2649,2717,2834,1785,2931,1459,1130,1157,2010,987,1093,1471,2795,1416,905,1589,3130,1570,1614,1835,825,1380,1387,1589,1387,1664,887,1394,1639,1702,1919,1718,3071,1745,3094,1754,841,2377,841,1534,2377,1370,1835,1406,1411,1589,1375,1877,1548,1896,818,1877,1919,1664,1683,1896,1968,1445,1816,882,1951,1987,746,1968,2010,1464,742,1987,1426,1431,1464,807,1431,877,1450,2096,2075,2117,2274,1987,2096,2140,733,1485,2117,733,2037,2188,750,760,2060,2165,1478,2238,2408,2213,2255,2075,2238,2274,1490,2255,2297,2117,2274,2326,2740,2297,2363,2960,2165,2326,2372,750,2363,1754,3033,3121,2213,2427,2573,2444,2467,2609,2482,2499,2649,2516,2533,2683,2550,2717,2238,2255,2427,2573,2444,2592,2757,2467,2609,1565,2632,1522,2499,2666,2808,2533,2683,1527,2550,2700,2592,2757,2609,2780,2863,1500,2632,1517,2825,2912,2700,2808,2834,1527,2825,2931,1495,2757,2960,2780,2863,726,1505,2808,2931,3060,1534,2834,2912,2326,2863,2987,771,2886,2960,3065,771,1510,872,1510,2377,3060,2912,3033,3068,2960,807,1919,760,1718,3071,832,1160
Node2,726,750,760,760,771,771,782,791,800,807,807,818,825,832,841,872,872,877,877,882,887,887,902,905,905,926,926,931,931,964,964,964,987,987,1010,1010,1010,1037,1037,1060,1060,1060,1093,1093,1116,1116,1130,1130,1130,1157,1165,1165,1194,1194,1194,1223,1223,1223,1254,1254,1283,1283,1306,1306,1329,1329,1334,1334,733,733,1351,1351,1358,1358,1365,1370,1375,1380,1380,1387,1387,1394,1399,1399,1406,1411,1416,1421,1426,1431,1431,1438,1438,1445,1450,1450,1459,1464,1464,1471,1471,1478,1478,1485,1490,1495,1500,1505,1510,1510,1517,1522,1527,1527,1534,1534,742,1541,1541,1548,1553,1558,1558,1565,746,1570,1570,1570,1589,1589,1589,1614,1614,1614,1614,1639,1639,1664,1664,1664,1683,1683,1702,1702,1718,1718,1745,1754,1754,1785,1785,1785,1816,1816,1835,1835,1835,1860,1860,1877,1877,1896,1896,1896,1919,1919,1919,1946,1951,1951,1968,1968,1968,1987,1987,1987,2010,2010,2010,2037,2037,2037,2060,2060,2075,2075,2075,2096,2096,2096,2117,2117,2117,2140,2140,2140,2165,2165,2165,2188,2188,2188,2188,2213,2213,2213,2238,2238,2255,2255,2255,2274,2274,2274,2297,2297,2297,2297,2326,2326,2326,2363,2363,2363,2372,2372,2377,2377,2377,2408,2408,2408,2427,2444,2444,2467,2482,2482,2499,2516,2516,2533,2550,2573,2573,2592,2592,2609,2609,2609,2632,2632,2649,2649,2666,2666,2683,2683,2700,2700,2717,2717,2717,2740,2740,2757,2757,2757,2780,2780,2795,2808,2808,2825,2825,2825,2834,2834,2834,2863,2863,2863,2886,2886,2903,2903,2912,2912,2912,2931,2931,2931,2960,2960,2960,2987,2987,2987,2987,3010,3010,3033,3033,3033,3033,3060,3060,3065,3068,3071,3071,3094,3094,3094,3121,3130
